stop_id,stop_name,stop_lat,stop_lon,stop_desc,zone_id,parent_station,wheelchair_boarding,platform_code
de:11000:900175007::2,U Hellersdorf (Berlin),52.536600,13.606671,U Bahnsteig Gleis 2,5656 U Hellersdorf (Berlin),de:11000:900175007,,
de:11000:900175007::3,U Hellersdorf (Berlin),52.536241,13.605199,Tramsteig Riesaer Str. vor Alice-Salomon-P. Pos. 4,5656 U Hellersdorf (Berlin),de:11000:900175007,,
de:11000:900175007::4,U Hellersdorf (Berlin),52.536231,13.605143,Tramsteig Riesaer Str. ht. Hellersdf. Str. Pos. 3,5656 U Hellersdorf (Berlin),de:11000:900175007,,
de:11000:900175010::1,U Hönow (Berlin),52.538482,13.633161,U Bahnsteig Gleis 1,5656 U Hönow (Berlin),de:11000:900175010,,
de:11000:900175010::2,U Hönow (Berlin),52.538373,13.633103,U Bahnsteig Gleis 2,5656 U Hönow (Berlin),de:11000:900175010,,
de:11000:900175010::3,U Hönow (Berlin),52.538309,13.633125,U Bahnsteig Gleis 3,5656 U Hönow (Berlin),de:11000:900175010,,
de:11000:900175011::3,Stendaler Str./Quedlinburger Str. (Berlin),52.539147,13.604344,Tramsteig Stendaler Str. ht. Janusz-Korczak-Str.,5656 Stendaler Str./Quedlinburger Str. (Berlin),de:11000:900175011,,
de:11000:900175011::4,Stendaler Str./Quedlinburger Str. (Berlin),52.539142,13.604277,Tramsteig Stendaler Str. vor Janusz-Korczak-Str.,5656 Stendaler Str./Quedlinburger Str. (Berlin),de:11000:900175011,,
de:11000:900175013::4,Riesaer Str. (Berlin),52.529435,13.624044,"Tramsteig Riesaer Straße, Einstieg",5656 Riesaer Str. (Berlin),de:11000:900175013,,
de:11000:900175013::5,Riesaer Str. (Berlin),52.529503,13.623718,"Tramsteig Riesaer Straße, Ausstieg",5656 Riesaer Str. (Berlin),de:11000:900175013,,
de:11000:900175014::3,Riesaer Str./Louis-Lewin-Str. (Berlin),52.530657,13.621574,Tramsteig Riesaer Straße vor Louis-Lewin-Straße,5656 Riesaer Str./Louis-Lewin-Str. (Berlin),de:11000:900175014,,
de:11000:900175014::4,Riesaer Str./Louis-Lewin-Str. (Berlin),52.530627,13.621552,Tramsteig Riesaer Straße hinter Leisniger Straße,5656 Riesaer Str./Louis-Lewin-Str. (Berlin),de:11000:900175014,,
de:11000:900175015::1,U Louis-Lewin-Str. (Berlin),52.539037,13.618307,U Bahnsteig Gleis 1,5656 U Louis-Lewin-Str. (Berlin),de:11000:900175015,,
de:11000:900175015::2,U Louis-Lewin-Str. (Berlin),52.538907,13.618353,U Bahnsteig Gleis 2,5656 U Louis-Lewin-Str. (Berlin),de:11000:900175015,,
de:11000:900175510::6,Landsberger Chaussee/Zossener Str. (Berlin),52.548834,13.587036,Tramsteig Zossener Straße vor Landsberger Chaussee,5656 Landsberger Chaussee/Zossener Str. (Berlin),de:11000:900175510,,
de:11000:900175510::7,Landsberger Chaussee/Zossener Str. (Berlin),52.548837,13.586987,Tramsteig Zossener Str. ht. Landsberger Allee,5656 Landsberger Chaussee/Zossener Str. (Berlin),de:11000:900175510,,
de:11000:900175511::3,Michendorfer Str. (Berlin),52.545535,13.587145,Tramsteig Zossener Straße ht. Michendorfer Straße,5656 Michendorfer Str. (Berlin),de:11000:900175511,,
de:11000:900175511::4,Michendorfer Str. (Berlin),52.545509,13.587137,Tramsteig Zossener Straße vor Michendorfer Straße,5656 Michendorfer Str. (Berlin),de:11000:900175511,,
de:11000:900175512::5,Alte Hellersdorfer/Zossener Str. (Berlin),52.544824,13.592401,Tramsteig Zossener Str. vor Alte Hellersdf. Str.,5656 Alte Hellersdorfer/Zossener Str. (Berlin),de:11000:900175512,,
de:11000:900175512::6,Alte Hellersdorfer/Zossener Str. (Berlin),52.544790,13.592388,Tramsteig Zossener Str. ht. Alte Hellersdf. Str.,5656 Alte Hellersdorfer/Zossener Str. (Berlin),de:11000:900175512,,
de:11000:900175513::3,Zossener Str./Kastanienallee (Berlin),52.543975,13.598618,Tramsteig Zossener Straße hinter Teupitzer Straße,5656 Zossener Str./Kastanienallee (Berlin),de:11000:900175513,,
